Proteomic Module	Metabolomic Module	rho	palue	relation
PM12	MM13	0.278994842	0.000263783	positive
PM18	MM2	0.278863237	0.000265612	positive
PM15	MM4	0.274434225	0.000334504	positive
PM11	MM4	0.274282374	0.000337138	positive
PM2	MM5	0.270739164	0.000404318	positive
PM24	MM12	0.265485091	0.000527055	positive
PM12	MM2	0.264366449	0.000557288	positive
PM17	MM5	0.261552128	0.000640581	positive
PM3	MM7	0.253865895	0.000930142	positive
PM9	MM5	0.253696327	0.000937712	positive
PM8	MM9	0.253093981	0.000965063	positive
PM18	MM7	0.252888981	0.000974538	positive
PM18	MM13	0.252815586	0.00097795	positive
PM14	MM12	0.25250429	0.000992548	positive
PM21	MM10	0.250499846	0.001091442	positive
PM3	MM2	0.250135401	0.001110367	positive
PM12	MM6	0.246394784	0.00132278	positive
PM14	MM4	0.245147069	0.001401523	positive
PM16	MM11	0.239655094	0.001801726	positive
PM10	MM12	0.238738921	0.001877838	positive
PM24	MM10	0.237524106	0.001983283	positive
PM5	MM13	0.23618781	0.002105482	positive
PM24	MM9	0.235833489	0.002139014	positive
PM17	MM13	0.221491084	0.003980107	positive
PM11	MM7	0.217725158	0.004657101	positive
PM16	MM2	0.213025344	0.005646262	positive
PM2	MM14	0.203456148	0.008260243	positive
PM21	MM5	0.203319481	0.008304313	positive
PM9	MM13	0.202170469	0.008683163	positive
PM7	MM7	0.201988247	0.008744634	positive
PM23	MM11	0.200464667	0.009273896	positive
PM9	MM10	0.192654421	0.012457495	positive
PM21	MM13	0.190680347	0.01340066	positive
PM8	MM7	0.190113433	0.01368285	positive
PM10	MM10	0.189192199	0.014152532	positive
PM5	MM6	0.186628434	0.015534776	positive
PM10	MM6	0.181055471	0.01895214	positive
PM7	MM1	0.179668558	0.019897816	positive
PM8	MM4	0.178215842	0.02093196	positive
PM21	MM1	0.178147509	0.02098173	positive
PM21	MM2	0.177540102	0.021428641	positive
PM2	MM13	0.168332819	0.029279973	positive
PM9	MM2	0.165283128	0.032372268	positive
PM23	MM5	0.162018313	0.035986371	positive
PM1	MM8	0.159515289	0.038983488	positive
PM2	MM1	0.157520968	0.041519759	positive
PM1	MM2	0.157050228	0.042138255	positive
PM6	MM11	0.155098931	0.044785184	positive
PM12	MM10	0.153086895	0.047658935	positive
PM24	MM7	0.151036895	0.050743615	positive
PM21	MM12	0.150287759	0.05191152	positive
PM3	MM13	0.149358932	0.053390487	positive
PM24	MM2	0.148746463	0.05438471	positive
PM19	MM12	0.147739179	0.056053169	positive
PM18	MM6	0.144853994	0.06106781	positive
PM22	MM6	0.142515476	0.065398048	positive
PM23	MM1	0.142039674	0.066309175	positive
PM10	MM9	0.139397452	0.071559565	positive
PM24	MM11	0.139200045	0.071965048	positive
PM7	MM12	0.136499613	0.077701783	positive
PM18	MM8	0.133520786	0.084453184	positive
PM4	MM3	0.132875416	0.08597629	positive
PM23	MM14	0.132629922	0.086561423	positive
PM5	MM8	0.130754552	0.091137415	positive
PM17	MM7	0.129258811	0.09492386	positive
PM11	MM14	0.129053811	0.095452429	positive
PM7	MM13	0.127816219	0.098693314	positive
PM13	MM11	0.127034182	0.100785815	positive
PM13	MM1	0.123690911	0.110129952	positive
PM19	MM14	0.122240726	0.114388745	positive
PM11	MM1	0.118846837	0.124858463	positive
PM8	MM2	0.116973998	0.130945524	positive
PM4	MM2	0.115303628	0.136565092	positive
PM13	MM2	0.114131838	0.140616337	positive
PM14	MM7	0.113233381	0.143784259	positive
PM17	MM11	0.112550048	0.146229835	positive
PM22	MM12	0.10912832	0.158953464	positive
PM6	MM9	0.103798321	0.180404534	positive
PM9	MM11	0.099564185	0.198912013	positive
PM16	MM13	0.097736902	0.207311247	positive
PM22	MM13	0.094337951	0.223608665	positive
PM18	MM12	0.089584989	0.247893768	positive
PM6	MM12	0.08777289	0.257618439	positive
PM8	MM10	0.087739989	0.2577974	positive
PM8	MM3	0.085619125	0.269514505	positive
PM13	MM6	0.080759867	0.297711703	positive
PM15	MM14	0.080661163	0.298304037	positive
PM20	MM8	0.078593447	0.310892352	positive
PM14	MM11	0.075242583	0.332021067	positive
PM3	MM14	0.072228324	0.351796168	positive
PM3	MM11	0.068791411	0.375228268	positive
PM9	MM14	0.066910979	0.388444566	positive
PM7	MM10	0.064035918	0.409187586	positive
PM23	MM2	0.0610824	0.431163667	positive
PM1	MM7	0.05891598	0.447706544	positive
PM20	MM12	0.058888141	0.447921433	positive
PM5	MM12	0.056784993	0.464322693	positive
PM22	MM5	0.055932092	0.4710674	positive
PM16	MM14	0.055413265	0.475196379	positive
PM11	MM13	0.051396784	0.507818173	positive
PM24	MM14	0.050503389	0.51522978	positive
PM13	MM7	0.047959871	0.536632205	positive
PM2	MM12	0.047858636	0.537493142	positive
PM7	MM6	0.046674192	0.547617021	positive
PM4	MM7	0.042612155	0.583031698	positive
PM8	MM12	0.041372032	0.594051181	positive
PM17	MM14	0.036586168	0.637436795	positive
PM13	MM13	0.034113514	0.660358382	positive
PM19	MM1	0.033169502	0.669195096	positive
PM13	MM14	0.033085984	0.669979114	positive
PM6	MM14	0.030279256	0.696529864	positive
PM17	MM12	0.024850552	0.748919726	positive
PM5	MM1	0.023562343	0.761533136	positive
PM23	MM12	0.022916972	0.767876208	positive
PM8	MM8	0.022008392	0.7768324	positive
PM12	MM12	0.021431355	0.782535874	positive
PM19	MM9	0.020416479	0.79259503	positive
PM15	MM6	0.020107714	0.79566232	positive
PM22	MM2	0.019237096	0.80432783	positive
PM21	MM14	0.018890368	0.807785644	positive
PM7	MM14	0.017361726	0.823073949	positive
PM24	MM1	0.01520543	0.844752161	positive
PM16	MM7	0.01124969	0.884814567	positive
PM14	MM6	0.008949135	0.908255877	positive
PM20	MM14	0.007779876	0.920201732	positive
PM8	MM1	0.00603611	0.938049548	positive
PM13	MM12	0.003619135	0.962837122	positive
PM6	MM6	0.003019321	0.968995051	positive
PM11	MM11	0.001280617	0.986854326	positive
PM17	MM2	0.001235062	0.987322381	positive
PM23	MM4	0.000690926	0.992913332	positive
PM1	MM3	-0.001090802	0.988804584	negtive
PM17	MM4	-0.004117716	0.957720165	negtive
PM12	MM1	-0.00615253	0.936856903	negtive
PM8	MM13	-0.007448332	0.923592351	negtive
PM3	MM1	-0.012370863	0.873425379	negtive
PM17	MM10	-0.020687281	0.789907485	negtive
PM21	MM8	-0.022081787	0.776107807	negtive
PM6	MM3	-0.026986602	0.728152503	negtive
PM21	MM6	-0.028953083	0.709207134	negtive
PM19	MM3	-0.029795861	0.701141255	negtive
PM17	MM6	-0.032382403	0.676597981	negtive
PM12	MM8	-0.033204934	0.668862591	negtive
PM23	MM6	-0.033736416	0.663882776	negtive
PM6	MM7	-0.033890798	0.662439005	negtive
PM6	MM1	-0.034229934	0.65927182	negtive
PM7	MM8	-0.035897773	0.643784923	negtive
PM11	MM8	-0.036689934	0.63648218	negtive
PM5	MM9	-0.038947464	0.615864019	negtive
PM13	MM4	-0.040668452	0.600344816	negtive
PM23	MM13	-0.043272711	0.577201048	negtive
PM19	MM5	-0.046097155	0.552582867	negtive
PM1	MM14	-0.052725487	0.496898909	negtive
PM15	MM3	-0.054509746	0.482433687	negtive
PM11	MM9	-0.054881783	0.479446435	negtive
PM17	MM1	-0.063552523	0.412738361	negtive
PM3	MM10	-0.06512672	0.401241732	negtive
PM23	MM3	-0.06743993	0.384698766	negtive
PM2	MM6	-0.067647461	0.383235134	negtive
PM22	MM4	-0.06878888	0.375245868	negtive
PM16	MM1	-0.069330485	0.371490971	negtive
PM12	MM9	-0.071140053	0.359114131	negtive
PM12	MM4	-0.073779744	0.341527262	negtive
PM18	MM1	-0.074232769	0.338564984	negtive
PM3	MM12	-0.074693386	0.335569906	negtive
PM9	MM1	-0.075637398	0.329484765	negtive
PM15	MM2	-0.07643462	0.324401492	negtive
PM6	MM2	-0.079537459	0.305102621	negtive
PM4	MM9	-0.080732027	0.297878693	negtive
PM7	MM2	-0.081271101	0.294656213	negtive
PM22	MM7	-0.081362212	0.294113869	negtive
PM19	MM2	-0.081843076	0.291262519	negtive
PM20	MM1	-0.085009187	0.272950382	negtive
PM2	MM11	-0.087342644	0.259965462	negtive
PM20	MM11	-0.089314187	0.24933059	negtive
PM7	MM11	-0.09184252	0.23613958	negtive
PM22	MM14	-0.094436655	0.223122922	negtive
PM15	MM12	-0.096031099	0.215379998	negtive
PM23	MM8	-0.098017827	0.206003588	negtive
PM9	MM4	-0.099290852	0.200152449	negtive
PM3	MM8	-0.101254802	0.191363521	negtive
PM13	MM8	-0.101545852	0.190085411	negtive
PM15	MM5	-0.102621469	0.185416142	negtive
PM11	MM3	-0.104005851	0.179531231	negtive
PM2	MM4	-0.104656283	0.176814392	negtive
PM11	MM2	-0.104878999	0.17589114	negtive
PM15	MM13	-0.106308937	0.170048343	negtive
PM18	MM14	-0.107850234	0.163913658	negtive
PM20	MM6	-0.113747146	0.141966155	negtive
PM4	MM14	-0.114273566	0.140121513	negtive
PM23	MM7	-0.114827825	0.138199168	negtive
PM14	MM5	-0.115523813	0.135813928	negtive
PM10	MM5	-0.119514985	0.122740697	negtive
PM5	MM4	-0.119864244	0.12164483	negtive
PM13	MM3	-0.127274614	0.100138785	negtive
PM16	MM4	-0.12808449	0.097983485	negtive
PM8	MM11	-0.130066157	0.092864822	negtive
PM19	MM7	-0.131860539	0.088415953	negtive
PM3	MM6	-0.132675477	0.086452601	negtive
PM18	MM9	-0.135069675	0.08088611	negtive
PM20	MM10	-0.138445847	0.073531443	negtive
PM2	MM2	-0.138724242	0.07295005	negtive
PM5	MM10	-0.140759057	0.068813149	negtive
PM7	MM4	-0.140933686	0.068467221	negtive
PM20	MM3	-0.146273809	0.05855579	negtive
PM14	MM9	-0.147569611	0.05633816	negtive
PM6	MM13	-0.148776833	0.054335051	negtive
PM11	MM10	-0.149166587	0.053701085	negtive
PM1	MM11	-0.153633561	0.046863313	negtive
PM9	MM12	-0.155129302	0.044742944	negtive
PM17	MM8	-0.155600043	0.044092479	negtive
PM1	MM9	-0.158854733	0.03980867	negtive
PM10	MM7	-0.160196091	0.038148159	negtive
PM18	MM4	-0.163483684	0.03432403	negtive
PM4	MM12	-0.167659609	0.029939965	negtive
PM22	MM10	-0.173255349	0.024821376	negtive
PM16	MM10	-0.173326213	0.024761711	negtive
PM19	MM13	-0.173670411	0.024473662	negtive
PM15	MM1	-0.178522077	0.020710174	negtive
PM21	MM4	-0.180275965	0.019478731	negtive
PM4	MM1	-0.186775224	0.015452563	negtive
PM7	MM3	-0.187364915	0.015126113	negtive
PM1	MM10	-0.189852754	0.013814347	negtive
PM4	MM6	-0.190973927	0.013256543	negtive
PM2	MM8	-0.19915621	0.009750882	negtive
PM16	MM12	-0.201649111	0.008860067	negtive
PM18	MM11	-0.203382753	0.008283884	negtive
PM8	MM14	-0.203906641	0.008116444	negtive
PM17	MM3	-0.208616579	0.006741078	negtive
PM24	MM13	-0.210476764	0.006257924	negtive
PM16	MM6	-0.210550159	0.006239512	negtive
PM10	MM3	-0.212058554	0.005871688	negtive
PM24	MM3	-0.218967812	0.004423058	negtive
PM16	MM8	-0.219322133	0.004358293	negtive
PM15	MM10	-0.222721084	0.003779037	negtive
PM15	MM9	-0.223082997	0.003721646	negtive
PM18	MM3	-0.224310466	0.003532807	negtive
PM13	MM10	-0.226028923	0.003282968	negtive
PM21	MM11	-0.22771954	0.003052883	negtive
PM23	MM9	-0.228764787	0.002918038	negtive
PM10	MM8	-0.230197256	0.002742003	negtive
PM8	MM5	-0.233049539	0.002419872	negtive
PM1	MM1	-0.235451329	0.002175725	negtive
PM19	MM8	-0.236109354	0.002112866	negtive
PM9	MM6	-0.239941081	0.001778551	negtive
PM14	MM13	-0.242654168	0.001571844	negtive
PM16	MM3	-0.246933858	0.00129003	negtive
PM14	MM8	-0.24708571	0.00128094	negtive
PM21	MM9	-0.251628611	0.001034692	negtive
PM5	MM14	-0.252468858	0.000994222	negtive
PM3	MM4	-0.253903858	0.000928455	negtive
PM12	MM14	-0.256110771	0.000835085	negtive
PM15	MM8	-0.263822313	0.000572566	negtive
PM18	MM10	-0.264303177	0.000559045	negtive
PM1	MM6	-0.268132374	0.000461452	negtive
PM22	MM11	-0.268600584	0.000450669	negtive
PM19	MM10	-0.271468053	0.000389559	negtive
PM1	MM12	-0.273307991	0.000354496	negtive
PM24	MM8	-0.275163114	0.00032213	negtive
PM3	MM3	-0.275864163	0.00031063	negtive
PM12	MM3	-0.27802046	0.000277607	negtive
PM5	MM3	-0.281259965	0.000234085	negtive
PM23	MM10	-0.284765212	0.000194203	negtive
PM22	MM1	-0.290702618	0.000140768	negtive
PM24	MM5	-0.29325626	0.000122316	negtive
PM14	MM2	-0.293473914	0.000120853	negtive
PM5	MM11	-0.300203481	8.29199E-05	negtive
PM12	MM11	-0.30260021	7.23527E-05	negtive
PM13	MM9	-0.318628171	2.82274E-05	negtive
PM15	MM7	-0.325856318	1.81502E-05	negtive
PM4	MM11	-0.330723169	1.33997E-05	negtive
PM16	MM9	-0.33611644	9.5178E-06	negtive
PM3	MM9	-0.343736871	5.80847E-06	negtive
PM20	MM4	-0.344911192	5.37688E-06	negtive
PM10	MM2	-0.345419896	5.19954E-06	negtive
PM9	MM9	-0.352498722	3.24156E-06	negtive
PM6	MM8	-0.35507261	2.72246E-06	negtive
PM2	MM9	-0.359395326	2.02416E-06	negtive
PM9	MM8	-0.362551313	1.62604E-06	negtive
PM2	MM3	-0.365158103	1.35469E-06	negtive
PM21	MM3	-0.382512237	3.86227E-07	negtive
PM14	MM3	-0.384175014	3.41218E-07	negtive
PM4	MM10	-0.385513841	3.08672E-07	negtive
PM20	MM9	-0.404556061	7.07778E-08	negtive
PM17	MM9	-0.415109764	3.00783E-08	negtive
PM1	MM4	-0.44890692	1.5507E-09	negtive
PM10	MM13	-0.466825436	2.62133E-10	negtive
PM9	MM3	-0.468118708	2.28392E-10	negtive
PM7	MM9	-0.490375125	1.22838E-11	negtive
PM4	MM4	-0.521636355	0	negtive
PM6	MM5	-0.571469065	0	negtive


